Name,Artifact Type,Category,Description,Tags,Classifications,Stewards
All Credit Card Information Must be Protected,rule,Data Privacy,"All constructs of a credit card must be protected to ensure that those who should not be able to view the information are not allowed to. The information can be redacted since it typically is not used as a unique identifier. This includes the Credit Card Number, Expiration Date and Credit Validation Number, also known as the Credit Card Verification Number or Security Code of CVV.",,,
All US Social Security Numbers Must be Protected,rule,Data Privacy,"All US Social Security Numbers must be protected to ensure that those who should not be able to view the information are not allowed to. The information must be masked (obfuscated) where the original format and validity of the number is preserved but the value is fictionalized. This is to ensure that application testing and data analysis, where this value is typically used as a key or unique identifier of a US citizen, is not affected. This includes the entire number and not just the last 4 digits.",,,
All Email Addresses Must be Protected,rule,Data Privacy,"All Email Addresses must be protected to ensure that those who should not be able to view the information are not allowed to. The information must be masked (obfuscated) where the original format and validity of the email address is preserved but the value is fictionalized. This is to ensure that application testing and data analysis, where this value is typically needed is not affected. This includes the entire email address and not just the domain.",,,
All Phone Numbers Must be Protected,rule,Data Privacy,"All Phone Numbers (Home, Work, Cellular etc.) must be protected to ensure that those who should not be able to view the information are not allowed to. The information must be masked (obfuscated) where the original format and validity of the number is preserved but the value is fictionalized. This is to ensure that application testing and data analysis, where this value is typically needed is not affected. This includes the entire number and not just the area code. Although, if possible, the area code can be preserved to identify a more accurate location if needed.",,,
